cellID	region	XYcellid	X:X	Y:Y	celltypes	efact	cluster
reg1_445_1319	reg1	445__1319	445	1319	Macrophage	1	2
reg1_446_1135	reg1	446__1135	446	1135	Macrophage	1	1
reg1_454_794	reg1	454__794	454	794	Macrophage	1	2
reg1_457_698	reg1	457__698	457	698	Macrophage	1	7
reg1_459_1314	reg1	459__1314	459	1314	Macrophage	1	2
reg1_462_1119	reg1	462__1119	462	1119	Macrophage	1	2
reg1_466_1349	reg1	466__1349	466	1349	Macrophage	1	2
reg1_477_678	reg1	477__678	477	678	Treg	1	7
reg1_479_879	reg1	479__879	479	879	Treg	1	2
reg1_480_853	reg1	480__853	480	853	Treg	1	5
reg1_482_1121	reg1	482__1121	482	1121	Treg	1	7
reg1_485_735	reg1	485__735	485	735	Treg	1	7
reg1_490_1042	reg1	490__1042	490	1042	Treg	1	5
reg1_493_1139	reg1	493__1139	493	1139	Treg	1	5
reg1_493_1205	reg1	493__1205	493	1205	Treg	1	7
reg1_496_909	reg1	496__909	496	909	Treg	1	5
reg1_501_830	reg1	501__830	501	830	Treg	1	5
reg1_501_881	reg1	501__881	501	881	Bcell	1	7
reg1_502_1117	reg1	502__1117	502	1117	Bcell	1	5
reg1_504_565	reg1	504__565	504	565	Bcell	1	5
reg1_506_1431	reg1	506__1431	506	1431	Bcell	1	5
reg1_507_1220	reg1	507__1220	507	1220	Bcell	1	5
reg1_508_849	reg1	508__849	508	849	Bcell	1	5
reg1_510_1147	reg1	510__1147	510	1147	Bcell	1	5
reg1_511_1202	reg1	511__1202	511	1202	Bcell	1	5
reg1_518_727	reg1	518__727	518	727	Bcell	1	5
reg1_521_1285	reg1	521__1285	521	1285	Bcell	1	5
reg1_523_1009	reg1	523__1009	523	1009	Bcell	1	5
reg1_524_1231	reg1	524__1231	524	1231	Bcell	1	5
reg1_524_1324	reg1	524__1324	524	1324	Bcell	1	5
reg1_530_1417	reg1	530__1417	530	1417	Bcell	1	7
reg1_531_1077	reg1	531__1077	531	1077	Bcell	1	5
reg1_540_1449	reg1	540__1449	540	1449	Bcell	1	5
reg1_542_1068	reg1	542__1068	542	1068	Bcell	1	5
reg1_544_727	reg1	544__727	544	727	Bcell	1	5
reg1_548_546	reg1	548__546	548	546	Bcell	1	5
reg1_548_845	reg1	548__845	548	845	Bcell	1	5
reg1_550_1330	reg1	550__1330	550	1330	Bcell	1	5
reg1_551_569	reg1	551__569	551	569	Bcell	1	5
reg1_551_594	reg1	551__594	551	594	Bcell	1	5
reg1_556_1191	reg1	556__1191	556	1191	Stroma	1	3
reg1_557_676	reg1	557__676	557	676	Stroma	1	5
reg1_558_1253	reg1	558__1253	558	1253	Stroma	1	5
reg1_560_898	reg1	560__898	560	898	Stroma	1	4
reg1_560_1137	reg1	560__1137	560	1137	Stroma	1	3
reg1_563_1371	reg1	563__1371	563	1371	Stroma	1	5
reg1_564_1209	reg1	564__1209	564	1209	Stroma	1	3
reg1_566_778	reg1	566__778	566	778	Stroma	1	3
reg1_570_572	reg1	570__572	570	572	Stroma	1	5
reg1_575_1068	reg1	575__1068	575	1068	Stroma	1	5
reg1_578_609	reg1	578__609	578	609	Stroma	1	3
reg1_578_1116	reg1	578__1116	578	1116	Stroma	1	3
reg1_580_1436	reg1	580__1436	580	1436	Stroma	1	3
reg1_585_1099	reg1	585__1099	585	1099	Stroma	1	3
reg1_586_782	reg1	586__782	586	782	Stroma	1	2
reg1_587_1205	reg1	587__1205	587	1205	Stroma	1	3
reg1_588_1152	reg1	588__1152	588	1152	Stroma	1	3
reg1_588_1407	reg1	588__1407	588	1407	Stroma	1	3
reg1_588_1423	reg1	588__1423	588	1423	Stroma	1	3
reg1_594_490	reg1	594__490	594	490	Macrophage	1	1
reg1_595_732	reg1	595__732	595	732	Macrophage	1	2
reg1_596_1043	reg1	596__1043	596	1043	Macrophage	1	3
reg1_598_1441	reg1	598__1441	598	1441	Macrophage	1	3
reg1_599_646	reg1	599__646	599	646	Macrophage	1	2
reg1_600_965	reg1	600__965	600	965	Macrophage	1	2
reg1_604_1253	reg1	604__1253	604	1253	Macrophage	1	2
reg1_605_747	reg1	605__747	605	747	Macrophage	1	2
reg1_606_1507	reg1	606__1507	606	1507	Macrophage	1	2
reg1_608_1481	reg1	608__1481	608	1481	Macrophage	1	2
reg1_614_950	reg1	614__950	614	950	Macrophage	1	1
reg1_614_1543	reg1	614__1543	614	1543	Macrophage	1	2
reg1_615_1397	reg1	615__1397	615	1397	Macrophage	1	2
reg1_617_1017	reg1	617__1017	617	1017	Macrophage	1	2
reg1_618_1241	reg1	618__1241	618	1241	Macrophage	1	2
reg1_618_1314	reg1	618__1314	618	1314	Macrophage	1	2
reg1_620_1491	reg1	620__1491	620	1491	Macrophage	1	2
reg1_627_1384	reg1	627__1384	627	1384	Macrophage	1	2
reg1_627_1470	reg1	627__1470	627	1470	Macrophage	1	2
reg1_630_857	reg1	630__857	630	857	CD8T	1	2
reg1_630_922	reg1	630__922	630	922	CD8T	1	1
reg1_630_1102	reg1	630__1102	630	1102	CD8T	1	2
reg1_632_1179	reg1	632__1179	632	1179	CD8T	1	9
reg1_633_494	reg1	633__494	633	494	CD8T	1	2
reg1_634_895	reg1	634__895	634	895	CD8T	1	9
reg1_636_1033	reg1	636__1033	636	1033	CD8T	1	9
reg1_641_1296	reg1	641__1296	641	1296	CD8T	1	2
reg1_646_969	reg1	646__969	646	969	CD4T	1	9
reg1_646_1227	reg1	646__1227	646	1227	CD4T	1	1
reg1_647_1320	reg1	647__1320	647	1320	CD4T	1	9
reg1_648_682	reg1	648__682	648	682	CD4T	1	2
reg1_653_1547	reg1	653__1547	653	1547	CD8T	1	9
reg1_654_1040	reg1	654__1040	654	1040	CD8T	1	9
reg1_655_1450	reg1	655__1450	655	1450	CD8T	1	9
reg1_657_1026	reg1	657__1026	657	1026	CD8T	1	9
reg1_669_428	reg1	669__428	669	428	CD8T	1	9
reg1_674_519	reg1	674__519	674	519	CD8T	1	9
reg1_674_1014	reg1	674__1014	674	1014	CD8T	1	9
reg1_676_665	reg1	676__665	676	665	CD8T	1	9
reg1_676_735	reg1	676__735	676	735	CD8T	1	9
reg1_677_1270	reg1	677__1270	677	1270	CD8T	1	4
reg1_680_1141	reg1	680__1141	680	1141	CD8T	1	9
reg1_680_1560	reg1	680__1560	680	1560	CD8T	1	9
reg1_681_1187	reg1	681__1187	681	1187	CD8T	1	9
reg1_682_681	reg1	682__681	682	681	CD8T	1	9
reg1_683_589	reg1	683__589	683	589	CD8T	1	7
reg1_685_955	reg1	685__955	685	955	CD8T	1	9
reg1_688_1525	reg1	688__1525	688	1525	Tumor	1	9
reg1_689_1075	reg1	689__1075	689	1075	Tumor	1	4
reg1_691_746	reg1	691__746	691	746	Tumor	1	5
reg1_694_575	reg1	694__575	694	575	Tumor	1	4
reg1_696_989	reg1	696__989	696	989	Tumor	1	9
reg1_697_1206	reg1	697__1206	697	1206	Tumor	1	9
reg1_698_796	reg1	698__796	698	796	Tumor	1	4
reg1_700_861	reg1	700__861	700	861	Tumor	1	4
reg1_702_1583	reg1	702__1583	702	1583	Tumor	1	9
reg1_707_690	reg1	707__690	707	690	Bcell	1	7
reg1_709_906	reg1	709__906	709	906	Bcell	1	7
reg1_709_1320	reg1	709__1320	709	1320	Bcell	1	4
reg1_711_1232	reg1	711__1232	711	1232	Bcell	1	4
reg1_712_1348	reg1	712__1348	712	1348	Bcell	1	7
reg1_716_850	reg1	716__850	716	850	Bcell	1	7
reg1_720_810	reg1	720__810	720	810	Treg	1	5
reg1_720_1001	reg1	720__1001	720	1001	Treg	1	7
reg1_735_769	reg1	735__769	735	769	Treg	1	3
reg1_736_612	reg1	736__612	736	612	Treg	1	7
reg1_737_1027	reg1	737__1027	737	1027	Treg	1	3
reg1_739_1119	reg1	739__1119	739	1119	Treg	1	3
reg1_741_587	reg1	741__587	741	587	Treg	1	7
reg1_741_855	reg1	741__855	741	855	Treg	1	7
reg1_741_899	reg1	741__899	741	899	Treg	1	7
reg1_741_1383	reg1	741__1383	741	1383	Treg	1	7
reg1_742_970	reg1	742__970	742	970	Treg	1	7
reg1_743_626	reg1	743__626	743	626	Treg	1	7
reg1_743_658	reg1	743__658	743	658	Treg	1	7
reg1_743_717	reg1	743__717	743	717	Treg	1	3
reg1_745_1293	reg1	745__1293	745	1293	Treg	1	7
reg1_746_825	reg1	746__825	746	825	Treg	1	3
reg1_748_1009	reg1	748__1009	748	1009	Stroma	1	7
reg1_749_746	reg1	749__746	749	746	Stroma	1	7
reg1_749_1140	reg1	749__1140	749	1140	Stroma	1	6
reg1_754_1176	reg1	754__1176	754	1176	Stroma	1	7
reg1_755_1604	reg1	755__1604	755	1604	Stroma	1	3
reg1_756_1159	reg1	756__1159	756	1159	CD4T	1	3
reg1_757_906	reg1	757__906	757	906	CD4T	1	7
reg1_759_1293	reg1	759__1293	759	1293	CD4T	1	3
reg1_761_925	reg1	761__925	761	925	CD4T	1	6
reg1_765_1058	reg1	765__1058	765	1058	CD4T	1	3
reg1_766_631	reg1	766__631	766	631	CD4T	1	6
reg1_766_1545	reg1	766__1545	766	1545	CD4T	1	3
reg1_769_726	reg1	769__726	769	726	CD4T	1	7
reg1_770_486	reg1	770__486	770	486	Tumor	1	1
reg1_770_1482	reg1	770__1482	770	1482	Tumor	1	7
reg1_771_1315	reg1	771__1315	771	1315	Macrophage	1	6
reg1_772_849	reg1	772__849	772	849	Tumor	1	7
reg1_779_417	reg1	779__417	779	417	CD8T	1	6
reg1_781_1156	reg1	781__1156	781	1156	CD4T	1	6
reg1_781_1401	reg1	781__1401	781	1401	CD4T	1	1
reg1_784_1171	reg1	784__1171	784	1171	Treg	1	8
reg1_784_1573	reg1	784__1573	784	1573	Treg	1	1
reg1_791_1086	reg1	791__1086	791	1086	CD4T	1	7
reg1_795_797	reg1	795__797	795	797	Stroma	1	3
reg1_797_467	reg1	797__467	797	467	Macrophage	1	6
reg1_798_619	reg1	798__619	798	619	Tumor	1	7
reg1_798_936	reg1	798__936	798	936	Tumor	1	6
reg1_801_857	reg1	801__857	801	857	Treg	1	8
reg1_802_391	reg1	802__391	802	391	Stroma	1	10
reg1_802_1475	reg1	802__1475	802	1475	Stroma	1	8
reg1_804_1280	reg1	804__1280	804	1280	Tumor	1	4
reg1_807_1679	reg1	807__1679	807	1679	Tumor	1	4
reg1_808_1238	reg1	808__1238	808	1238	CD8T	1	7
reg1_810_1191	reg1	810__1191	810	1191	CD4T	1	9
reg1_811_598	reg1	811__598	811	598	Treg	1	4
reg1_811_1493	reg1	811__1493	811	1493	Stroma	1	8
reg1_812_1597	reg1	812__1597	812	1597	Macrophage	1	3
reg1_817_405	reg1	817__405	817	405	Tumor	1	4
reg1_819_317	reg1	819__317	819	317	Stroma	1	4
reg1_819_624	reg1	819__624	819	624	Stroma	1	7
reg1_821_428	reg1	821__428	821	428	Tumor	1	6
reg1_824_1474	reg1	824__1474	824	1474	CD8T	1	8
reg1_825_677	reg1	825__677	825	677	Bcell	1	4
reg1_825_1097	reg1	825__1097	825	1097	Tumor	1	7
reg1_830_1195	reg1	830__1195	830	1195	CD4T	1	9
reg1_831_1495	reg1	831__1495	831	1495	CD4T	1	6
reg1_835_1663	reg1	835__1663	835	1663	Tumor	1	7
reg1_838_1162	reg1	838__1162	838	1162	Bcell	1	6
reg1_839_1368	reg1	839__1368	839	1368	CD8T	1	5
reg1_840_349	reg1	840__349	840	349	CD4T	1	1
reg1_841_1139	reg1	841__1139	841	1139	Treg	1	5
reg1_844_805	reg1	844__805	844	805	Tumor	1	7
reg1_844_920	reg1	844__920	844	920	Macrophage	1	8
reg1_846_1097	reg1	846__1097	846	1097	Tumor	1	4
reg1_851_1418	reg1	851__1418	851	1418	Bcell	1	6
reg1_853_1121	reg1	853__1121	853	1121	CD8T	1	7
reg1_856_369	reg1	856__369	856	369	Stroma	1	6
reg1_856_1079	reg1	856__1079	856	1079	Tumor	1	6
reg1_856_1358	reg1	856__1358	856	1358	Tumor	1	9
reg1_861_1240	reg1	861__1240	861	1240	CD8T	1	7
reg1_862_655	reg1	862__655	862	655	Bcell	1	4
reg1_863_313	reg1	863__313	863	313	Tumor	1	4
reg1_863_1096	reg1	863__1096	863	1096	CD8T	1	5
reg1_864_772	reg1	864__772	864	772	CD8T	1	6
reg1_865_797	reg1	865__797	865	797	CD4T	1	9
reg1_865_913	reg1	865__913	865	913	CD4T	1	3
reg1_865_1063	reg1	865__1063	865	1063	CD4T	1	4
reg1_865_1513	reg1	865__1513	865	1513	Treg	1	9
reg1_866_1463	reg1	866__1463	866	1463	Tumor	1	6
reg1_867_1572	reg1	867__1572	867	1572	Tumor	1	4
reg1_869_1489	reg1	869__1489	869	1489	Bcell	1	6
reg1_872_865	reg1	872__865	872	865	CD4T	1	3
reg1_878_1656	reg1	878__1656	878	1656	CD8T	1	3
reg1_886_1211	reg1	886__1211	886	1211	CD8T	1	1
reg1_889_970	reg1	889__970	889	970	CD4T	1	2
reg1_890_803	reg1	890__803	890	803	CD4T	1	9
reg1_893_938	reg1	893__938	893	938	Tumor	1	8
reg1_894_1000	reg1	894__1000	894	1000	Macrophage	1	1
reg1_894_1271	reg1	894__1271	894	1271	Macrophage	1	7
reg1_895_840	reg1	895__840	895	840	Tumor	1	8
reg1_896_1041	reg1	896__1041	896	1041	Tumor	1	1
reg1_898_1237	reg1	898__1237	898	1237	Tumor	1	9
reg1_902_1405	reg1	902__1405	902	1405	Treg	1	6
reg1_908_909	reg1	908__909	908	909	Macrophage	1	7
reg1_911_1686	reg1	911__1686	911	1686	Bcell	1	3
reg1_911_656	reg1	911__656	911	656	Bcell	1	9
reg1_912_883	reg1	912__883	912	883	Tumor	1	7
reg1_917_963	reg1	917__963	917	963	Macrophage	1	6
reg1_919_1575	reg1	919__1575	919	1575	Tumor	1	1
reg1_923_1705	reg1	923__1705	923	1705	CD8T	1	7
reg1_924_622	reg1	924__622	924	622	Tumor	1	2
reg1_926_367	reg1	926__367	926	367	CD8T	1	4
reg1_926_1155	reg1	926__1155	926	1155	CD8T	1	5
reg1_926_1259	reg1	926__1259	926	1259	CD8T	1	7
reg1_927_936	reg1	927__936	927	936	CD4T	1	1
reg1_929_906	reg1	929__906	929	906	Treg	1	6
reg1_930_457	reg1	930__457	930	457	Treg	1	10
reg1_932_1419	reg1	932__1419	932	1419	Macrophage	1	9
reg1_932_1462	reg1	932__1462	932	1462	Tumor	1	4
reg1_933_586	reg1	933__586	933	586	Tumor	1	4
reg1_933_714	reg1	933__714	933	714	Tumor	1	4
reg1_933_882	reg1	933__882	933	882	Tumor	1	6
reg1_939_916	reg1	939__916	939	916	CD4T	1	8
reg1_943_1698	reg1	943__1698	943	1698	Treg	1	9
reg1_948_1389	reg1	948__1389	948	1389	Tumor	1	9
reg1_952_1407	reg1	952__1407	952	1407	CD8T	1	1
reg1_953_1158	reg1	953__1158	953	1158	CD4T	1	9
reg1_953_1287	reg1	953__1287	953	1287	CD4T	1	4
reg1_958_611	reg1	958__611	958	611	Macrophage	1	4
reg1_959_1361	reg1	959__1361	959	1361	CD8T	1	4
reg1_960_1383	reg1	960__1383	960	1383	Bcell	1	9
reg1_960_1585	reg1	960__1585	960	1585	Bcell	1	10
reg1_963_1306	reg1	963__1306	963	1306	CD8T	1	6
reg1_970_1216	reg1	970__1216	970	1216	Tumor	1	4
reg1_971_411	reg1	971__411	971	411	Tumor	1	8
reg1_972_973	reg1	972__973	972	973	Tumor	1	4
reg1_974_801	reg1	974__801	974	801	Bcell	1	9
reg1_975_1253	reg1	975__1253	975	1253	Tumor	1	7
reg1_976_733	reg1	976__733	976	733	CD8T	1	3
reg1_977_431	reg1	977__431	977	431	CD4T	1	4
reg1_978_1470	reg1	978__1470	978	1470	CD4T	1	4
reg1_979_464	reg1	979__464	979	464	Treg	1	6
reg1_986_1506	reg1	986__1506	986	1506	Tumor	1	5
reg1_989_759	reg1	989__759	989	759	Tumor	1	9
reg1_990_487	reg1	990__487	990	487	CD8T	1	2
reg1_990_1519	reg1	990__1519	990	1519	Bcell	1	4
reg1_992_503	reg1	992__503	992	503	Tumor	1	1
reg1_992_775	reg1	992__775	992	775	CD8T	1	9
reg1_996_1085	reg1	996__1085	996	1085	Macrophage	1	6
reg1_996_1306	reg1	996__1306	996	1306	Macrophage	1	6
reg1_998_859	reg1	998__859	998	859	Tumor	1	9
reg1_999_1550	reg1	999__1550	999	1550	Tumor	1	5
reg1_999_1581	reg1	999__1581	999	1581	CD8T	1	4
reg1_1005_623	reg1	1005__623	1005	623	CD8T	1	1
reg1_1005_706	reg1	1005__706	1005	706	CD8T	1	10
reg1_1008_886	reg1	1008__886	1008	886	CD4T	1	4
reg1_1008_1496	reg1	1008__1496	1008	1496	Treg	1	6
reg1_1009_1294	reg1	1009__1294	1009	1294	Treg	1	1
reg1_1012_1145	reg1	1012__1145	1012	1145	Macrophage	1	6
reg1_1020_1687	reg1	1020__1687	1020	1687	CD8T	1	1
reg1_1020_1106	reg1	1020__1106	1020	1106	CD4T	1	1
reg1_1022_1607	reg1	1022__1607	1022	1607	Treg	1	4
reg1_1024_1674	reg1	1024__1674	1024	1674	Macrophage	1	9
reg1_1025_506	reg1	1025__506	1025	506	Tumor	1	4
reg1_1029_849	reg1	1029__849	1029	849	CD8T	1	4
reg1_1034_1064	reg1	1034__1064	1034	1064	CD8T	1	1
reg1_1035_1575	reg1	1035__1575	1035	1575	CD4T	1	3
reg1_1038_451	reg1	1038__451	1038	451	Tumor	1	4
reg1_1038_625	reg1	1038__625	1038	625	Tumor	1	4
reg1_1039_521	reg1	1039__521	1039	521	Macrophage	1	10
reg1_1039_1273	reg1	1039__1273	1039	1273	Tumor	1	4
reg1_1040_676	reg1	1040__676	1040	676	Tumor	1	4
reg1_1041_1229	reg1	1041__1229	1041	1229	CD8T	1	1
reg1_1041_1251	reg1	1041__1251	1041	1251	Bcell	1	4
reg1_1049_952	reg1	1049__952	1049	952	Treg	1	7
reg1_1051_697	reg1	1051__697	1051	697	Stroma	1	4
reg1_1052_570	reg1	1052__570	1052	570	Tumor	1	4
reg1_1053_1627	reg1	1053__1627	1053	1627	Tumor	1	10
reg1_1056_1512	reg1	1056__1512	1056	1512	Tumor	1	6
reg1_1061_1488	reg1	1061__1488	1061	1488	CD8T	1	4
reg1_1064_1723	reg1	1064__1723	1064	1723	CD4T	1	4
reg1_1065_1072	reg1	1065__1072	1065	1072	Stroma	1	9
reg1_1065_1333	reg1	1065__1333	1065	1333	Stroma	1	1
reg1_1067_1236	reg1	1067__1236	1067	1236	Macrophage	1	5
reg1_1068_780	reg1	1068__780	1068	780	Tumor	1	4
reg1_1071_1152	reg1	1071__1152	1071	1152	Tumor	1	8
reg1_1079_1507	reg1	1079__1507	1079	1507	CD4T	1	4
reg1_1082_959	reg1	1082__959	1082	959	Treg	1	1
reg1_1085_1354	reg1	1085__1354	1085	1354	Stroma	1	1
reg1_1089_988	reg1	1089__988	1089	988	Tumor	1	8
reg1_1089_1458	reg1	1089__1458	1089	1458	Macrophage	1	4
reg1_1090_429	reg1	1090__429	1090	429	Tumor	1	6
reg1_1091_916	reg1	1091__916	1091	916	Tumor	1	1
reg1_1092_1549	reg1	1092__1549	1092	1549	Bcell	1	3
reg1_1095_1338	reg1	1095__1338	1095	1338	CD8T	1	3
reg1_1099_1111	reg1	1099__1111	1099	1111	Treg	1	9
reg1_1101_1598	reg1	1101__1598	1101	1598	Tumor	1	4
reg1_1102_1436	reg1	1102__1436	1102	1436	Macrophage	1	4
reg1_1105_1627	reg1	1105__1627	1105	1627	Tumor	1	4
reg1_1111_954	reg1	1111__954	1111	954	Tumor	1	1
reg1_1111_1140	reg1	1111__1140	1111	1140	Tumor	1	7
reg1_1118_1516	reg1	1118__1516	1118	1516	Treg	1	3
reg1_1120_428	reg1	1120__428	1120	428	Tumor	1	7
reg1_1121_769	reg1	1121__769	1121	769	Tumor	1	10
reg1_1121_1458	reg1	1121__1458	1121	1458	Tumor	1	1
reg1_1122_339	reg1	1122__339	1122	339	Tumor	1	7
reg1_1125_604	reg1	1125__604	1125	604	Tumor	1	10
